2019-08-26 09:31:37::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:37::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:39::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2019-08-26 09:31:39::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:39::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2019-08-26 09:31:39::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:40::SqlDbType 的列舉值 0 無效。
參數名稱: SqlDbType

2019-08-26 15:32:22::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:23::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:23::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:24::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:24::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:25::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:25::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:25::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:26::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:26::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:26::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:26::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:26::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:27::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:27::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:28::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:29::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:29::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:29::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:29::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:29::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:29::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:30::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:30::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:31::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:31::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:34::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:34::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:34::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 22:41:44::連接未關閉。連接目前的狀態為連接中。

2019-08-26 22:41:44::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2019-08-26 22:41:44::並未將物件參考設定為物件的執行個體。

2019-08-26 22:41:44::並未將物件參考設定為物件的執行個體。

